timestamp,symbol,current_price,high,low,open,previous_close
2025-04-20T08:41:07.268591,AAPL,196.98,198.8335,194.42,197.2,194.27
2025-04-20T08:41:07.440868,TSLA,241.37,244.34,237.6833,243.47,241.55
2025-04-20T08:41:07.604235,JPM,231.96,234.34,230.55,230.8,229.61
2025-04-20T08:41:07.766789,JNJ,157.47,159.44,154.16,154.16,153.91
2025-04-20T08:41:07.938474,PG,170.63,171.65,167.35,167.53,166.39
2025-04-22T18:16:11.727969,AAPL,199.74,201.59,195.97,196.12,193.16
2025-04-22T18:16:11.908313,TSLA,237.97,242.79,229.8501,230.96,227.5
2025-04-22T18:16:12.120375,JPM,235.59,235.99,231.37,231.98,228.99
2025-04-22T18:16:12.294387,JNJ,157.75,158.72,156.2601,157.55,156.92
2025-04-22T18:16:13.020360,PG,167.88,168.77,164.535,165.86,165.75
2025-04-22T18:17:05.156501,AAPL,199.74,201.59,195.97,196.12,193.16
2025-04-22T18:17:05.318804,TSLA,237.97,242.79,229.8501,230.96,227.5
2025-04-22T18:17:05.489040,JPM,235.59,235.99,231.37,231.98,228.99
2025-04-22T18:17:05.660482,JNJ,157.75,158.72,156.2601,157.55,156.92
2025-04-22T18:17:05.832728,PG,167.88,168.77,164.535,165.86,165.75
2025-04-22T18:29:45.966609,AAPL,199.74,201.59,195.97,196.12,193.16
2025-04-22T18:29:46.134990,TSLA,237.97,242.79,229.8501,230.96,227.5
2025-04-22T18:29:46.872179,JPM,235.59,235.99,231.37,231.98,228.99
2025-04-22T18:29:47.045577,JNJ,157.75,158.72,156.2601,157.55,156.92
2025-04-22T18:29:47.217859,PG,167.88,168.77,164.535,165.86,165.75
2025-04-22T18:30:15.491655,AAPL,199.74,201.59,195.97,196.12,193.16
2025-04-22T18:30:15.763623,TSLA,237.97,242.79,229.8501,230.96,227.5
2025-04-22T18:30:15.949641,JPM,235.59,235.99,231.37,231.98,228.99
2025-04-22T18:30:16.175762,JNJ,157.75,158.72,156.2601,157.55,156.92
2025-04-22T18:30:16.361484,PG,167.88,168.77,164.535,165.86,165.75
2025-04-22T18:33:49.863497,AAPL,199.74,201.59,195.97,196.12,193.16
2025-04-22T18:33:50.036455,TSLA,237.97,242.79,229.8501,230.96,227.5
2025-04-22T18:33:50.866917,JPM,235.59,235.99,231.37,231.98,228.99
2025-04-22T18:33:51.032060,JNJ,157.75,158.72,156.2601,157.55,156.92
2025-04-22T18:33:51.206642,PG,167.88,168.77,164.535,165.86,165.75
2025-04-22T18:34:13.825717,AAPL,199.74,201.59,195.97,196.12,193.16
2025-04-22T18:34:14.100395,TSLA,237.97,242.79,229.8501,230.96,227.5
2025-04-22T18:34:14.461714,JPM,235.59,235.99,231.37,231.98,228.99
2025-04-22T18:34:14.626173,JNJ,157.75,158.72,156.2601,157.55,156.92
2025-04-22T18:34:14.787937,PG,167.88,168.77,164.535,165.86,165.75
